-0.15,-0.1,0,-0.275,-0.25,-0.3,
0,-0.275,-0.15,-0.4,-0.25,-0.3,
-0.15,-0.1,0.15,-0.1,0,-0.275,
0.25,-0.3,0.15,-0.4,0,-0.275,
0,-0.275,0.15,-0.4,-0.15,-0.4,
0.15,-0.1,0.25,-0.3,0,-0.275,
-0.15,0.575,0,0.45,-0.35,0.575,
-0.15,-0.1,0,0.45,0.15,-0.1,
0.15,-0.1,1,0,0.25,-0.3,
0.15,-0.4,0,-1,-0.15,-0.4,
-0.15,-0.4,-1,-1,-0.25,-0.3,
1,-1,0,-1,0.15,-0.4,
-0.35,0.575,0,0.45,-0.15,-0.1,
-1,0,-0.35,0.575,-0.15,-0.1,
0,1,0,0.6,-0.15,0.575,
-0.15,0.575,0,0.6,0,0.45,
0,0.45,0.35,0.575,0.15,-0.1,
0,0.6,0.15,0.575,0,0.45,
-0.35,0.575,-0.35,0.625,-0.15,0.575,
-0.25,-0.3,-1,0,-0.15,-0.1,
-0.35,0.575,-0.5,0.625,-0.35,0.625,
-1,-1,-1,0,-0.25,-0.3,
-1,0,-0.5,0.625,-0.35,0.575,
0.35,0.625,0.35,0.575,0.15,0.575,
0.15,0.575,0.35,0.575,0,0.45,
0,1,0.15,0.575,0,0.6,
0,1,0.35,0.625,0.15,0.575,
0.35,0.625,0.5,0.625,0.35,0.575,
0.35,0.575,1,0,0.15,-0.1,
0.5,0.625,1,0,0.35,0.575,
0.25,-0.3,1,-1,0.15,-0.4,
0,-1,-1,-1,-0.15,-0.4,
0.35,0.625,0,1,0.5,0.625,
-0.35,0.625,0,1,-0.15,0.575,
-0.5,0.625,0,1,-0.35,0.625,
1,0,1,-1,0.25,-0.3,
-1,0,-1,1,-0.5,0.625,
-0.5,0.625,-1,1,0,1,
0,1,1,1,0.5,0.625,
0.5,0.625,1,1,1,0,
